queue_length,estimated_time,category,hour_of_day,day_of_week,is_weekend,wait_time
26,40,Legal,16,1,0,500.0
17,30,Identity,12,6,1,420.67662521903253
39,30,Identity,12,5,1,500.0
1,40,Legal,8,4,0,39.62832387365011
37,25,Transport,13,5,1,500.0
9,20,Civil Records,14,6,1,239.81333127822987
73,40,Legal,16,4,0,500.0
22,40,Legal,8,6,1,500.0
32,25,Transport,16,1,0,500.0
9,35,Finance,9,6,1,244.14812087603633
57,20,Civil Records,10,0,0,500.0
30,30,Identity,8,2,0,500.0
20,30,Identity,17,2,0,500.0
30,30,Identity,16,3,0,500.0
16,30,Identity,9,0,0,358.2222623918611
31,35,Finance,14,5,1,500.0
24,30,Identity,10,2,0,500.0
17,35,Finance,17,2,0,500.0
79,25,Transport,13,5,1,500.0
8,35,Finance,13,4,0,443.6887145857412
25,25,Transport,8,2,0,500.0
46,35,Finance,15,3,0,500.0
21,40,Legal,13,3,0,500.0
11,35,Finance,16,0,0,330.1968985403306
73,25,Transport,16,5,1,500.0
56,35,Finance,16,0,0,500.0
21,30,Identity,11,2,0,500.0
1,20,Civil Records,9,5,1,9.832335868835358
6,35,Finance,16,4,0,238.51120292432205
39,35,Finance,9,1,0,500.0
55,25,Transport,13,2,0,500.0
23,20,Civil Records,11,2,0,500.0
45,40,Legal,11,2,0,500.0
50,25,Transport,8,2,0,500.0
18,35,Finance,12,4,0,500.0
26,20,Civil Records,9,0,0,367.67132968592796
4,40,Legal,16,1,0,199.8295315283477
17,45,Travel,16,1,0,500.0
6,45,Travel,11,4,0,230.76917189765732
44,40,Legal,9,5,1,500.0
28,45,Travel,13,3,0,500.0
73,25,Transport,8,1,0,500.0
72,25,Transport,11,4,0,500.0
41,30,Identity,9,0,0,500.0
31,25,Transport,8,4,0,500.0
72,20,Civil Records,8,4,0,500.0
57,40,Legal,9,5,1,500.0
1,25,Transport,9,4,0,27.514256118239395
16,20,Civil Records,16,1,0,300.5664435640341
80,30,Identity,9,3,0,500.0
66,30,Identity,11,4,0,500.0
34,40,Legal,9,3,0,500.0
71,20,Civil Records,8,0,0,500.0
15,35,Finance,14,2,0,500.0
22,30,Identity,17,2,0,500.0
9,35,Finance,15,5,1,367.82773211155825
78,40,Legal,12,6,1,500.0
11,45,Travel,10,0,0,500.0
38,40,Legal,10,6,1,500.0
67,40,Legal,16,0,0,500.0
58,25,Transport,17,4,0,500.0
71,35,Finance,15,6,1,500.0
31,45,Travel,16,5,1,500.0
46,20,Civil Records,17,1,0,500.0
48,35,Finance,12,1,0,500.0
23,40,Legal,12,5,1,500.0
17,35,Finance,11,5,1,500.0
26,20,Civil Records,8,4,0,472.7222267399636
21,20,Civil Records,11,0,0,500.0
40,35,Finance,14,0,0,500.0
34,40,Legal,14,0,0,500.0
53,45,Travel,8,1,0,500.0
30,35,Finance,17,0,0,500.0
75,40,Legal,9,6,1,500.0
54,35,Finance,13,5,1,500.0
14,30,Identity,14,3,0,402.1354385129018
71,40,Legal,11,4,0,500.0
71,20,Civil Records,13,6,1,500.0
74,30,Identity,10,0,0,500.0
80,40,Legal,11,6,1,500.0
51,30,Identity,15,0,0,500.0
2,25,Transport,12,4,0,102.04211591322944
55,35,Finance,17,3,0,500.0
58,30,Identity,8,6,1,500.0
53,25,Transport,16,4,0,500.0
75,25,Transport,12,3,0,500.0
68,35,Finance,8,3,0,500.0
69,40,Legal,10,5,1,500.0
45,40,Legal,16,4,0,500.0
1,25,Transport,9,4,0,25.62093128761693
22,35,Finance,11,2,0,500.0
66,20,Civil Records,14,2,0,500.0
51,30,Identity,17,2,0,500.0
72,20,Civil Records,13,6,1,500.0
72,25,Transport,11,1,0,500.0
31,30,Identity,8,6,1,500.0
79,40,Legal,8,2,0,500.0
76,35,Finance,11,2,0,500.0
59,40,Legal,8,0,0,500.0
75,30,Identity,14,6,1,500.0
35,40,Legal,15,1,0,500.0
79,35,Finance,10,1,0,500.0
24,30,Identity,13,6,1,500.0
54,35,Finance,17,3,0,500.0
58,45,Travel,13,2,0,500.0
35,30,Identity,17,4,0,500.0
1,35,Finance,8,0,0,23.669543372442323
28,40,Legal,10,5,1,500.0
1,45,Travel,17,4,0,59.161855388787835
9,40,Legal,16,5,1,446.0211616947956
38,25,Transport,8,2,0,500.0
17,45,Travel,12,0,0,500.0
71,35,Finance,15,4,0,500.0
38,30,Identity,10,5,1,500.0
24,30,Identity,15,5,1,500.0
41,20,Civil Records,16,1,0,500.0
62,45,Travel,14,1,0,500.0
69,40,Legal,16,3,0,500.0
36,40,Legal,10,5,1,500.0
58,20,Civil Records,10,5,1,500.0
79,40,Legal,15,1,0,500.0
59,35,Finance,13,0,0,500.0
13,35,Finance,13,1,0,500.0
11,35,Finance,8,4,0,263.4262672176577
10,20,Civil Records,9,3,0,222.4886962032071
6,45,Travel,13,1,0,405.82280461992394
66,35,Finance,9,2,0,500.0
62,45,Travel,13,2,0,500.0
32,20,Civil Records,9,2,0,500.0
35,30,Identity,12,3,0,500.0
32,40,Legal,11,4,0,500.0
46,40,Legal,15,1,0,500.0
74,20,Civil Records,9,4,0,500.0
55,30,Identity,15,0,0,500.0
56,40,Legal,9,3,0,500.0
64,40,Legal,16,2,0,500.0
12,40,Legal,16,2,0,411.09305064856835
72,30,Identity,15,2,0,500.0
60,45,Travel,13,1,0,500.0
37,20,Civil Records,15,3,0,500.0
38,25,Transport,12,6,1,500.0
79,35,Finance,9,3,0,500.0
7,30,Identity,14,3,0,412.27141078126107
17,45,Travel,14,5,1,500.0
74,20,Civil Records,10,3,0,500.0
28,35,Finance,16,6,1,500.0
29,30,Identity,10,4,0,500.0
2,35,Finance,13,3,0,90.4862382060663
10,20,Civil Records,11,0,0,173.48126667604456
2,25,Transport,17,0,0,65.54840776590547
14,40,Legal,17,5,1,500.0
20,20,Civil Records,15,6,1,478.95928879065013
61,35,Finance,14,5,1,500.0
72,25,Transport,9,1,0,500.0
18,25,Transport,14,6,1,500.0
77,35,Finance,16,0,0,500.0
51,35,Finance,10,5,1,500.0
70,30,Identity,14,6,1,500.0
57,25,Transport,15,4,0,500.0
6,20,Civil Records,8,1,0,89.52070217826473
14,35,Finance,11,5,1,466.36413443415415
9,40,Legal,10,6,1,301.6905550828372
75,30,Identity,12,1,0,500.0
29,30,Identity,14,3,0,500.0
57,40,Legal,9,0,0,500.0
66,20,Civil Records,10,6,1,500.0
30,25,Transport,12,1,0,500.0
54,25,Transport,13,6,1,500.0
9,30,Identity,11,4,0,264.87582501450595
21,30,Identity,13,0,0,500.0
73,45,Travel,11,1,0,500.0
80,30,Identity,11,4,0,500.0
57,45,Travel,14,4,0,500.0
29,25,Transport,10,3,0,500.0
70,35,Finance,17,6,1,500.0
37,20,Civil Records,9,1,0,385.4348140111165
21,25,Transport,11,6,1,343.4242709009452
23,30,Identity,12,3,0,500.0
1,25,Transport,14,3,0,25.639896983534207
48,45,Travel,13,6,1,500.0
27,20,Civil Records,9,2,0,489.13869636624634
8,40,Legal,16,4,0,264.98695383080315
73,30,Identity,16,0,0,500.0
30,35,Finance,9,4,0,500.0
66,30,Identity,9,6,1,500.0
16,30,Identity,9,3,0,473.1746542278629
25,45,Travel,11,0,0,500.0
27,30,Identity,11,6,1,500.0
8,45,Travel,11,6,1,320.0414688927315
3,45,Travel,15,1,0,113.65174299997956
11,20,Civil Records,16,0,0,309.7607315549391
11,45,Travel,14,6,1,500.0
10,40,Legal,11,6,1,449.03103621639684
15,45,Travel,8,1,0,500.0
36,30,Identity,15,5,1,500.0
7,25,Transport,16,5,1,193.45824382751476
57,40,Legal,16,0,0,500.0
48,40,Legal,15,6,1,500.0
14,25,Transport,13,5,1,332.9964759016829
57,45,Travel,13,0,0,500.0
30,20,Civil Records,10,3,0,497.8995668572024
77,40,Legal,14,6,1,500.0
71,25,Transport,13,0,0,500.0
7,40,Legal,11,4,0,295.4378797886479
3,20,Civil Records,11,2,0,68.01835809084994
0,45,Travel,12,2,0,1.0
59,25,Transport,11,4,0,500.0
36,25,Transport,11,4,0,500.0
39,45,Travel,9,0,0,500.0
19,45,Travel,12,5,1,500.0
1,45,Travel,16,1,0,73.87440272129678
52,30,Identity,14,5,1,500.0
35,45,Travel,8,5,1,500.0
22,25,Transport,10,2,0,433.8141584175633
35,25,Transport,12,0,0,500.0
37,35,Finance,15,4,0,500.0
56,25,Transport,14,4,0,500.0
8,45,Travel,16,2,0,418.01417841316015
18,35,Finance,11,6,1,500.0
2,20,Civil Records,11,2,0,46.06578762009327
21,25,Transport,17,3,0,500.0
22,25,Transport,13,4,0,500.0
50,25,Transport,16,6,1,500.0
41,25,Transport,14,0,0,500.0
60,30,Identity,15,1,0,500.0
56,35,Finance,10,3,0,500.0
65,30,Identity,15,1,0,500.0
77,20,Civil Records,10,6,1,500.0
75,30,Identity,12,3,0,500.0
71,40,Legal,10,0,0,500.0
33,40,Legal,10,4,0,500.0
79,45,Travel,14,6,1,500.0
3,45,Travel,11,0,0,161.41007985609204
12,45,Travel,11,4,0,500.0
50,25,Transport,13,3,0,500.0
63,45,Travel,9,4,0,500.0
31,20,Civil Records,12,6,1,500.0
7,40,Legal,10,5,1,252.76207491271452
72,25,Transport,11,1,0,500.0
3,35,Finance,10,0,0,122.16357152001567
40,30,Identity,11,2,0,500.0
37,20,Civil Records,13,5,1,500.0
65,20,Civil Records,15,0,0,500.0
9,20,Civil Records,9,1,0,110.08749815263639
12,25,Transport,10,1,0,369.7667821333073
15,25,Transport,9,4,0,344.29289728229264
26,45,Travel,14,0,0,500.0
45,30,Identity,13,2,0,500.0
20,45,Travel,13,2,0,500.0
2,30,Identity,14,1,0,87.86447107019688
64,25,Transport,11,1,0,500.0
4,25,Transport,9,1,0,107.1716779103072
63,35,Finance,15,0,0,500.0
79,40,Legal,14,2,0,500.0
37,20,Civil Records,11,6,1,500.0
16,20,Civil Records,10,0,0,314.05474564901647
65,20,Civil Records,11,4,0,500.0
48,30,Identity,10,0,0,500.0
57,45,Travel,8,1,0,500.0
70,30,Identity,10,1,0,500.0
7,40,Legal,10,6,1,268.2177238769757
2,45,Travel,11,4,0,78.555674026574
74,30,Identity,10,4,0,500.0
4,20,Civil Records,9,4,0,61.65933280257062
28,45,Travel,12,5,1,500.0
15,30,Identity,9,6,1,346.40882492467665
30,45,Travel,9,2,0,500.0
71,30,Identity,11,4,0,500.0
21,40,Legal,14,1,0,500.0
40,45,Travel,14,0,0,500.0
48,25,Transport,14,6,1,500.0
26,25,Transport,8,5,1,469.6661668009886
16,40,Legal,14,3,0,500.0
61,45,Travel,8,0,0,500.0
71,45,Travel,14,3,0,500.0
50,30,Identity,13,2,0,500.0
14,45,Travel,15,0,0,500.0
54,40,Legal,13,3,0,500.0
11,40,Legal,17,4,0,500.0
27,35,Finance,13,0,0,500.0
5,20,Civil Records,14,5,1,121.7924764952449
17,40,Legal,14,2,0,500.0
25,25,Transport,17,6,1,500.0
34,20,Civil Records,9,4,0,500.0
42,45,Travel,11,5,1,500.0
14,20,Civil Records,12,3,0,411.7366392441044
75,35,Finance,14,0,0,500.0
50,20,Civil Records,16,1,0,500.0
24,30,Identity,10,2,0,500.0
19,20,Civil Records,11,2,0,259.776848424844
76,25,Transport,16,6,1,500.0
32,25,Transport,13,0,0,500.0
20,35,Finance,11,6,1,500.0
72,40,Legal,10,0,0,500.0
4,30,Identity,9,2,0,81.32263755143921
32,40,Legal,13,2,0,500.0
41,20,Civil Records,11,2,0,500.0
56,45,Travel,17,2,0,500.0
50,20,Civil Records,13,2,0,500.0
28,25,Transport,12,1,0,500.0
61,40,Legal,14,3,0,500.0
35,30,Identity,13,6,1,500.0
7,20,Civil Records,12,1,0,201.10642269502057
51,45,Travel,9,2,0,500.0
15,30,Identity,14,0,0,500.0
58,20,Civil Records,11,3,0,500.0
68,40,Legal,11,1,0,500.0
43,40,Legal,16,2,0,500.0
13,45,Travel,9,1,0,500.0
55,35,Finance,11,5,1,500.0
9,40,Legal,13,6,1,286.69755266520343
24,30,Identity,15,3,0,500.0
64,40,Legal,16,4,0,500.0
49,35,Finance,13,0,0,500.0
8,25,Transport,12,5,1,289.6214210522927
10,40,Legal,11,1,0,354.10198890323665
79,35,Finance,16,3,0,500.0
24,45,Travel,14,5,1,500.0
80,20,Civil Records,14,3,0,500.0
58,35,Finance,13,6,1,500.0
48,45,Travel,16,4,0,500.0
24,30,Identity,10,2,0,500.0
42,20,Civil Records,10,4,0,500.0
54,35,Finance,8,3,0,500.0
29,40,Legal,15,4,0,500.0
22,30,Identity,11,2,0,500.0
48,45,Travel,15,4,0,500.0
80,40,Legal,12,0,0,500.0
6,45,Travel,15,6,1,308.23818969271497
39,30,Identity,8,6,1,500.0
11,35,Finance,8,5,1,221.07688985775184
6,35,Finance,10,5,1,193.80945772478776
66,25,Transport,14,4,0,500.0
53,30,Identity,14,4,0,500.0
6,35,Finance,10,1,0,160.7419856884079
61,40,Legal,9,1,0,500.0
26,25,Transport,9,5,1,327.19238232148524
34,30,Identity,16,6,1,500.0
80,20,Civil Records,17,2,0,500.0
74,25,Transport,14,2,0,500.0
17,25,Transport,15,4,0,329.80022162785474
37,40,Legal,8,4,0,500.0
55,30,Identity,15,5,1,500.0
15,40,Legal,16,0,0,500.0
61,45,Travel,11,5,1,500.0
48,20,Civil Records,16,2,0,500.0
55,40,Legal,17,4,0,500.0
30,40,Legal,11,3,0,500.0
34,45,Travel,17,2,0,500.0
63,25,Transport,17,0,0,500.0
56,20,Civil Records,11,0,0,500.0
64,30,Identity,13,2,0,500.0
19,35,Finance,10,1,0,500.0
66,30,Identity,14,0,0,500.0
5,45,Travel,12,0,0,236.18749800315132
44,40,Legal,13,6,1,500.0
64,25,Transport,12,5,1,500.0
32,20,Civil Records,8,6,1,487.7159049078172
40,25,Transport,15,6,1,500.0
3,45,Travel,10,6,1,144.81850857180703
62,45,Travel,10,3,0,500.0
43,45,Travel,10,5,1,500.0
59,25,Transport,17,4,0,500.0
15,35,Finance,14,1,0,500.0
74,20,Civil Records,11,1,0,500.0
65,20,Civil Records,17,6,1,500.0
71,35,Finance,12,5,1,500.0
2,30,Identity,10,0,0,46.16422208338914
60,25,Transport,12,1,0,500.0
13,45,Travel,16,0,0,500.0
79,20,Civil Records,13,4,0,500.0
63,25,Transport,10,5,1,500.0
25,25,Transport,16,4,0,500.0
53,45,Travel,8,2,0,500.0
15,35,Finance,14,6,1,500.0
46,25,Transport,8,5,1,500.0
75,45,Travel,16,4,0,500.0
25,35,Finance,17,1,0,500.0
15,30,Identity,11,0,0,500.0
14,20,Civil Records,11,2,0,318.6784031049418
42,40,Legal,8,2,0,500.0
44,40,Legal,15,5,1,500.0
71,40,Legal,17,5,1,500.0
0,20,Civil Records,16,4,0,1.0
12,30,Identity,13,5,1,355.96919117594797
54,25,Transport,8,4,0,500.0
11,30,Identity,8,2,0,342.3170056129759
75,35,Finance,10,0,0,500.0
0,40,Legal,16,1,0,1.0
75,40,Legal,10,5,1,500.0
71,45,Travel,15,4,0,500.0
31,20,Civil Records,13,2,0,500.0
63,35,Finance,16,1,0,500.0
40,40,Legal,12,1,0,500.0
54,40,Legal,10,1,0,500.0
19,35,Finance,14,4,0,500.0
58,25,Transport,16,1,0,500.0
36,45,Travel,17,3,0,500.0
22,35,Finance,13,2,0,500.0
12,40,Legal,13,0,0,500.0
0,45,Travel,16,6,1,1.0
31,25,Transport,9,4,0,500.0
13,25,Transport,8,2,0,242.0128501625339
66,40,Legal,13,4,0,500.0
22,25,Transport,15,1,0,500.0
16,25,Transport,15,3,0,500.0
59,30,Identity,10,2,0,500.0
45,25,Transport,17,0,0,500.0
3,20,Civil Records,11,0,0,70.58606841365113
37,30,Identity,14,6,1,500.0
76,30,Identity,16,3,0,500.0
80,25,Transport,11,0,0,500.0
39,25,Transport,11,6,1,500.0
41,25,Transport,17,6,1,500.0
72,25,Transport,15,6,1,500.0
70,35,Finance,16,2,0,500.0
38,20,Civil Records,10,0,0,500.0
55,20,Civil Records,9,5,1,500.0
70,25,Transport,8,4,0,500.0
72,35,Finance,11,3,0,500.0
43,20,Civil Records,15,4,0,500.0
73,25,Transport,14,1,0,500.0
58,30,Identity,17,0,0,500.0
19,30,Identity,15,5,1,500.0
39,20,Civil Records,15,0,0,500.0
26,20,Civil Records,15,2,0,500.0
68,20,Civil Records,10,6,1,500.0
76,45,Travel,11,5,1,500.0
25,20,Civil Records,16,1,0,396.03436269834776
29,25,Transport,10,2,0,500.0
44,45,Travel,14,5,1,500.0
15,30,Identity,17,6,1,339.94409223132175
77,45,Travel,14,3,0,500.0
70,35,Finance,17,0,0,500.0
14,25,Transport,9,6,1,218.39609013709682
32,45,Travel,9,2,0,500.0
59,30,Identity,17,6,1,500.0
12,20,Civil Records,16,3,0,245.9152937801495
27,30,Identity,12,1,0,500.0
24,20,Civil Records,14,0,0,500.0
51,20,Civil Records,13,3,0,500.0
59,20,Civil Records,17,5,1,500.0
23,20,Civil Records,12,6,1,500.0
16,20,Civil Records,14,3,0,500.0
70,20,Civil Records,8,6,1,500.0
33,40,Legal,12,2,0,500.0
4,45,Travel,17,5,1,221.94734040372467
30,30,Identity,16,3,0,500.0
55,20,Civil Records,9,3,0,500.0
22,30,Identity,17,3,0,500.0
20,40,Legal,16,2,0,500.0
20,25,Transport,11,2,0,500.0
22,25,Transport,13,3,0,500.0
5,35,Finance,9,4,0,144.74353491374055
70,20,Civil Records,17,3,0,500.0
78,35,Finance,15,1,0,500.0
44,35,Finance,15,2,0,500.0
41,45,Travel,8,3,0,500.0
20,35,Finance,14,6,1,500.0
68,20,Civil Records,12,4,0,500.0
77,30,Identity,11,6,1,500.0
44,30,Identity,12,1,0,500.0
53,30,Identity,13,2,0,500.0
7,45,Travel,8,1,0,307.1614883053069
74,30,Identity,12,0,0,500.0
15,25,Transport,14,4,0,415.6043378295551
53,40,Legal,11,6,1,500.0
10,25,Transport,9,6,1,164.40819629945432
51,35,Finance,10,2,0,500.0
38,40,Legal,10,6,1,500.0
74,30,Identity,15,6,1,500.0
30,40,Legal,14,2,0,500.0
46,25,Transport,11,3,0,500.0
48,40,Legal,9,6,1,500.0
24,40,Legal,8,2,0,500.0
47,25,Transport,11,1,0,500.0
71,20,Civil Records,16,1,0,500.0
0,35,Finance,9,5,1,1.0
19,20,Civil Records,16,5,1,406.5479868440528
33,25,Transport,16,3,0,500.0
19,45,Travel,9,1,0,500.0
35,40,Legal,16,1,0,500.0
67,20,Civil Records,8,0,0,500.0
75,20,Civil Records,8,0,0,500.0
23,35,Finance,10,1,0,500.0
48,45,Travel,14,0,0,500.0
19,35,Finance,13,3,0,500.0
2,45,Travel,17,5,1,66.91873171337086
57,20,Civil Records,13,1,0,500.0
27,40,Legal,11,0,0,500.0
57,20,Civil Records,13,0,0,500.0
49,45,Travel,8,5,1,500.0
8,30,Identity,16,6,1,226.4701580894573
25,30,Identity,13,3,0,500.0
64,35,Finance,10,6,1,500.0
10,20,Civil Records,15,6,1,151.842743269157
16,25,Transport,16,4,0,500.0
9,30,Identity,15,5,1,244.14212669359353
75,20,Civil Records,12,6,1,500.0
70,25,Transport,10,1,0,500.0
2,40,Legal,17,1,0,111.01173595842587
44,45,Travel,9,0,0,500.0
29,40,Legal,17,6,1,500.0
19,40,Legal,9,3,0,439.47584616204074
3,25,Transport,12,0,0,96.45974309301889
40,20,Civil Records,10,5,1,500.0
13,30,Identity,8,3,0,308.00915233213107
0,45,Travel,13,6,1,1.0
5,35,Finance,13,0,0,330.9161074551666
61,35,Finance,9,2,0,500.0
19,35,Finance,12,4,0,500.0
2,45,Travel,13,1,0,121.61693699483939
77,30,Identity,16,1,0,500.0
46,30,Identity,16,5,1,500.0
56,20,Civil Records,12,2,0,500.0
47,45,Travel,14,0,0,500.0
70,35,Finance,16,6,1,500.0
78,20,Civil Records,9,5,1,500.0
54,35,Finance,10,2,0,500.0
2,25,Transport,8,2,0,50.31761952616427
9,35,Finance,12,2,0,478.21146027590436
21,40,Legal,13,5,1,500.0
13,20,Civil Records,8,4,0,221.72296495054414
15,45,Travel,14,2,0,500.0
11,20,Civil Records,11,4,0,298.10349027127694
33,40,Legal,11,0,0,500.0
6,20,Civil Records,16,6,1,111.83742012222807
54,20,Civil Records,15,3,0,500.0
70,40,Legal,15,3,0,500.0
52,35,Finance,16,0,0,500.0
62,35,Finance,8,4,0,500.0
55,30,Identity,16,6,1,500.0
66,40,Legal,13,3,0,500.0
34,45,Travel,12,4,0,500.0
18,25,Transport,17,3,0,500.0
70,45,Travel,8,1,0,500.0
40,45,Travel,9,6,1,500.0
64,35,Finance,14,1,0,500.0
72,45,Travel,14,3,0,500.0
35,45,Travel,17,5,1,500.0
58,25,Transport,12,6,1,500.0
2,35,Finance,13,5,1,99.36049846787184
63,35,Finance,13,6,1,500.0
2,20,Civil Records,16,2,0,39.069511356544645
43,30,Identity,8,4,0,500.0
4,40,Legal,9,6,1,121.2463038675406
48,45,Travel,11,4,0,500.0
51,35,Finance,11,6,1,500.0
58,40,Legal,14,0,0,500.0
30,35,Finance,14,0,0,500.0
70,25,Transport,17,4,0,500.0
61,30,Identity,16,2,0,500.0
49,25,Transport,11,5,1,500.0
7,45,Travel,10,5,1,261.8593330765424
57,25,Transport,14,0,0,500.0
30,40,Legal,9,0,0,500.0
79,35,Finance,9,4,0,500.0
45,40,Legal,11,5,1,500.0
30,25,Transport,9,3,0,500.0
48,20,Civil Records,10,4,0,500.0
69,25,Transport,8,5,1,500.0
18,30,Identity,17,5,1,500.0
52,45,Travel,11,6,1,500.0
47,40,Legal,8,3,0,500.0
45,30,Identity,8,0,0,500.0
20,25,Transport,11,6,1,490.7794057187298
33,25,Transport,13,0,0,500.0
75,45,Travel,12,1,0,500.0
0,40,Legal,8,1,0,1.0
22,25,Transport,10,4,0,465.6722351968126
46,20,Civil Records,12,0,0,500.0
61,25,Transport,17,1,0,500.0
55,25,Transport,17,4,0,500.0
68,30,Identity,11,3,0,500.0
4,45,Travel,10,1,0,117.19001586483482
17,25,Transport,8,2,0,324.825541592721
75,35,Finance,15,4,0,500.0
3,40,Legal,12,1,0,258.1407857335558
9,45,Travel,17,6,1,344.0428484919612
13,40,Legal,13,2,0,500.0
46,40,Legal,10,1,0,500.0
43,35,Finance,10,0,0,500.0
50,30,Identity,8,5,1,500.0
59,25,Transport,10,0,0,500.0
27,40,Legal,11,1,0,500.0
4,25,Transport,14,6,1,94.87195868448458
79,30,Identity,12,3,0,500.0
21,40,Legal,15,6,1,500.0
25,20,Civil Records,16,5,1,357.6003345677144
7,30,Identity,11,3,0,168.14698091226896
31,35,Finance,8,3,0,500.0
69,35,Finance,9,2,0,500.0
64,20,Civil Records,11,5,1,500.0
22,40,Legal,15,1,0,500.0
52,45,Travel,13,4,0,500.0
51,30,Identity,9,3,0,500.0
62,25,Transport,13,0,0,500.0
10,20,Civil Records,10,6,1,128.1171140619236
3,40,Legal,10,1,0,104.41679286854983
40,45,Travel,13,3,0,500.0
61,20,Civil Records,15,4,0,500.0
22,45,Travel,15,0,0,500.0
2,40,Legal,15,1,0,133.11534125097955
0,30,Identity,14,3,0,1.0
66,25,Transport,11,0,0,500.0
72,20,Civil Records,10,3,0,500.0
24,30,Identity,11,0,0,500.0
40,35,Finance,15,4,0,500.0
60,25,Transport,10,5,1,500.0
77,25,Transport,9,2,0,500.0
68,30,Identity,17,6,1,500.0
25,25,Transport,14,3,0,500.0
47,40,Legal,11,6,1,500.0
27,30,Identity,14,4,0,500.0
45,35,Finance,16,1,0,500.0
18,45,Travel,16,5,1,500.0
44,35,Finance,10,6,1,500.0
49,30,Identity,10,3,0,500.0
55,40,Legal,8,0,0,500.0
65,45,Travel,9,0,0,500.0
43,20,Civil Records,15,1,0,500.0
30,25,Transport,13,4,0,500.0
69,30,Identity,10,6,1,500.0
77,40,Legal,12,5,1,500.0
59,40,Legal,17,0,0,500.0
42,35,Finance,13,5,1,500.0
44,30,Identity,17,2,0,500.0
33,40,Legal,9,6,1,500.0
40,40,Legal,8,2,0,500.0
62,30,Identity,8,5,1,500.0
33,30,Identity,16,1,0,500.0
18,20,Civil Records,9,4,0,315.101674153307
55,45,Travel,17,1,0,500.0
