service_type,day_of_week,is_weekend,hour_of_day,slot_booking_count,avg_hourly_bookings,avg_service_duration_minutes,historical_avg_wait,expected_wait_minutes
nic,2,0,9,10,10,19.82,134.22,193.03
license,5,1,11,10,10,23.9,157.51,224.15
license,3,0,11,11,14,31.61,242.38,240
license,3,0,14,13,16,24.1,216.5,240
license,0,0,11,7,12,26.39,125.01,194.98
nic,2,0,10,5,9,12.6,34.74,70.83
passport,4,0,15,13,21,39.21,314.88,240
nic,1,0,15,1,17,14.81,5,30.72
license,6,1,10,6,17,30.31,128.4,182.16
passport,2,0,11,8,18,24.68,130.33,210.86
passport,2,0,11,15,15,30.96,313.13,240
license,2,0,9,11,17,31.04,230.83,240
passport,0,0,9,5,9,32.97,98.81,157.44
license,1,0,11,9,17,25.18,132.92,221.93
license,5,1,15,6,7,15.14,67.21,91.89
license,6,1,9,3,7,20.68,37.34,53.06
passport,5,1,11,6,11,30.01,110.32,167.01
license,2,0,13,8,14,23.97,122.69,210.4
license,4,0,15,7,15,21.84,90.83,157.99
license,1,0,15,1,16,26.45,12.34,32.14
nic,5,1,11,7,12,20.96,96.28,127.4
nic,3,0,13,10,17,14.56,93.08,157.22
passport,1,0,10,10,14,32.04,194.54,240
nic,6,1,15,8,8,17.86,92.95,143.46
passport,1,0,13,7,7,23.92,97.78,178.79
license,4,0,13,7,17,19.59,99.68,153.26
passport,3,0,11,10,10,30.82,214.0,240
passport,0,0,15,9,13,35.11,201.16,240
nic,1,0,10,7,13,18.93,94.2,135.51
nic,1,0,13,12,12,22.39,176.14,240
license,3,0,13,13,14,24.17,188.56,240
license,5,1,14,7,14,15.87,65.84,116.58
passport,0,0,13,9,22,30.02,178.33,240
license,4,0,9,7,14,21.04,93.99,141.99
passport,1,0,13,12,19,29.94,241.32,240
passport,6,1,13,14,14,33.65,316.1,240
passport,1,0,15,16,17,32.97,343.39,240
license,1,0,10,14,17,28.24,251.82,240
license,2,0,11,11,17,23.97,167.44,240
nic,4,0,9,0,13,15.74,6.5,3.5
license,1,0,9,2,5,24.28,43.92,45.43
nic,6,1,14,11,11,14.38,95.89,160.76
license,5,1,11,10,10,19.74,128.83,177.02
passport,5,1,10,13,13,34.57,298.32,240
license,6,1,13,2,13,21.05,23.49,51.33
passport,3,0,10,17,17,26.8,292.58,240
passport,6,1,11,9,14,33.08,186.55,240
passport,4,0,9,4,8,31.73,82.94,126.93
license,6,1,10,5,5,16.91,55.78,77.94
license,1,0,11,10,11,20.71,127.68,200.78
license,4,0,11,7,16,22.99,110.03,166.24
license,4,0,15,5,13,26.56,73.54,132.71
license,4,0,11,14,14,22.92,215.82,240
nic,2,0,9,10,14,17.18,110.32,164.56
passport,0,0,9,4,9,29.62,78.88,127.65
passport,0,0,9,10,10,32.92,212.16,240
nic,6,1,14,8,10,18.06,104.14,143.49
license,1,0,14,12,12,29.97,230.64,240
passport,2,0,14,8,13,31.4,143.89,240
license,0,0,10,11,13,29.06,212.32,240
license,4,0,13,9,17,22.33,118.62,203.04
passport,6,1,15,9,9,28.14,165.89,240
nic,5,1,10,11,11,20.17,146.31,206.22
license,2,0,13,15,19,28.3,269.98,240
license,4,0,13,6,16,29.0,104.76,185.65
nic,5,1,14,7,10,17.57,81.32,115.93
license,0,0,10,4,14,26.19,65.55,102.25
passport,0,0,13,9,14,34.94,196.8,240
passport,3,0,15,5,13,26.52,94.11,141.32
passport,2,0,9,8,15,31.24,138.73,232.86
license,6,1,14,7,12,18.45,82.66,127.04
nic,1,0,11,8,8,15.21,67.63,121.2
nic,0,0,15,5,9,20.76,75.96,106.01
nic,3,0,9,5,7,16.15,58.55,76.19
license,2,0,13,14,14,24.2,230.34,240
license,5,1,10,11,12,21.57,156.29,219.12
license,2,0,9,6,13,11.38,29.04,60.33
license,3,0,11,9,9,29.9,161.59,240
nic,5,1,10,4,8,18.19,44.93,64.2
passport,3,0,15,4,15,26.39,80.56,128.88
nic,4,0,14,8,15,19.03,95.92,168.08
nic,3,0,15,7,12,17.7,81.77,122.81
license,5,1,13,4,5,28.75,62.07,106.71
license,6,1,13,10,12,23.22,161.2,238.74
passport,1,0,15,16,19,32.41,324.61,240
passport,0,0,9,8,10,33.21,167.34,240
nic,4,0,13,4,10,18.78,51.67,97.91
nic,3,0,14,6,16,21.48,83.62,151.47
nic,6,1,13,11,11,20.36,152.81,221.02
license,3,0,15,11,12,31.73,229.34,240
passport,0,0,10,8,17,30.24,169.14,240
passport,2,0,9,8,8,29.55,153.58,222.46
license,5,1,13,11,11,24.47,169.25,240
nic,4,0,11,6,9,12.26,39.56,64.37
license,0,0,15,6,9,19.09,78.28,116.78
passport,2,0,15,8,11,33.36,177.19,240
passport,4,0,14,16,16,31.67,344.28,240
license,6,1,11,8,12,19.76,114.68,158.14
nic,6,1,15,4,4,25.08,62.26,80.17
nic,2,0,14,13,16,20.69,174.79,240
passport,6,1,15,9,10,32.09,189.52,240
license,1,0,15,5,18,26.88,93.08,141.0
passport,0,0,10,11,15,33.99,242.93,240
passport,3,0,11,14,14,26.21,246.37,240
license,5,1,10,10,10,26.78,164.5,240
license,2,0,10,8,8,27.42,144.84,212.87
license,2,0,14,13,13,26.98,230.37,240
passport,0,0,15,8,15,37.55,197.8,240
passport,1,0,10,10,12,34.44,214.94,240
nic,2,0,10,5,13,12.77,37.58,86.53
nic,4,0,11,8,10,19.42,97.82,147.45
license,2,0,9,11,11,25.17,179.46,240
license,0,0,13,7,16,20.35,87.72,159.54
license,6,1,15,10,10,23.41,154.93,220.3
passport,6,1,13,8,14,30.99,152.73,240
nic,0,0,10,6,11,23.59,85.23,138.95
license,4,0,11,5,14,29.05,101.68,156.61
license,5,1,10,3,3,27.56,40.89,72.04
passport,3,0,15,12,16,30.03,227.56,240
nic,0,0,9,11,11,19.0,134.82,189.53
license,0,0,14,14,14,22.02,193.17,240
passport,6,1,15,2,14,33.05,41.53,65.92
license,1,0,10,8,10,30.01,165.77,232.03
license,1,0,13,14,20,15.04,141.46,221.59
license,4,0,9,3,6,23.66,44.32,63.94
passport,2,0,9,12,12,34.02,263.69,240
license,5,1,9,8,10,20.87,114.7,155.21
passport,6,1,14,11,11,27.29,202.62,240
nic,5,1,9,4,13,13.7,36.4,45.14
nic,2,0,13,14,18,21.87,190.86,240
passport,0,0,10,7,18,35.38,161.31,240
passport,2,0,11,12,18,35.21,270.82,240
license,5,1,10,1,10,24.54,13.05,21.38
nic,3,0,9,5,12,14.01,34.27,61.83
passport,2,0,9,1,17,36.58,40.91,39.37
passport,0,0,13,12,18,29.52,221.99,240
passport,6,1,11,8,9,32.29,164.77,235.92
nic,6,1,11,3,3,26.11,48.15,62.96
nic,1,0,11,9,17,18.37,95.81,170.74
passport,3,0,14,16,17,27.64,296.62,240
license,4,0,11,12,12,24.88,196.51,240
passport,4,0,9,8,10,33.26,170.8,240
passport,6,1,11,13,15,35.4,290.41,240
license,6,1,15,6,13,21.34,87.49,115.1
passport,4,0,13,4,16,25.05,69.6,130.2
nic,4,0,15,0,12,20.67,5,13.81
license,4,0,10,4,19,18.75,57.72,88.55
license,5,1,11,6,12,24.72,93.56,134.72
license,6,1,15,10,10,24.97,164.98,228.62
passport,5,1,15,1,9,30.21,18.78,23.08
license,3,0,15,9,9,20.38,106.04,175.73
license,0,0,15,3,9,19.82,45.48,66.52
nic,2,0,13,14,30,19.88,186.45,240
license,6,1,15,3,10,23.26,38.28,70.39
nic,4,0,13,10,15,16.03,93.71,180.07
nic,3,0,11,5,10,15.36,43.77,80.3
license,6,1,13,8,14,30.84,157.36,240
license,4,0,13,9,11,24.78,137.74,234.55
nic,6,1,10,7,7,18.0,93.35,124.36
nic,5,1,14,4,12,15.36,40.46,65.23
license,1,0,13,15,19,27.38,251.77,240
passport,4,0,11,9,16,44.86,261.08,240
nic,6,1,15,3,3,20.13,44.26,55.82
nic,6,1,15,2,3,19.07,26.09,28.34
nic,6,1,10,2,7,16.09,20.24,24.65
nic,1,0,13,11,11,13.72,112.16,173.11
passport,4,0,14,15,17,32.11,317.52,240
nic,4,0,13,11,15,23.49,160.47,240
license,4,0,14,11,11,32.07,231.37,240
passport,2,0,15,10,20,32.72,205.39,240
license,0,0,14,10,11,28.83,190.16,240
license,3,0,15,6,9,24.34,103.33,155.65
passport,0,0,11,12,21,34.62,265.45,240
license,3,0,11,12,18,25.32,193.91,240
nic,6,1,15,5,10,12.33,52.45,60.21
passport,2,0,10,4,10,32.11,92.09,129.38
nic,5,1,13,11,13,20.21,135.48,218.82
license,2,0,11,10,10,26.12,174.11,240
passport,0,0,15,11,11,35.2,251.61,240
nic,5,1,15,5,5,20.67,67.17,88.38
nic,1,0,14,8,9,20.06,108.49,169.23
license,0,0,14,8,17,27.59,137.5,237.35
nic,4,0,10,5,11,16.21,47.79,91.29
passport,4,0,13,15,18,30.96,303.81,240
nic,4,0,11,4,4,18.67,52.65,78.7
license,3,0,9,7,13,14.27,76.76,102.44
license,0,0,14,4,12,27.75,62.0,130.89
passport,4,0,10,8,16,33.85,185.11,240
nic,2,0,14,6,11,20.1,77.94,136.56
passport,5,1,15,6,6,32.55,118.13,180.99
nic,2,0,15,10,13,15.92,103.02,164.7
license,1,0,10,5,5,27.61,93.6,137.21
nic,2,0,10,12,19,19.49,171.21,238.65
nic,2,0,10,8,8,14.2,78.64,119.32
license,0,0,14,7,10,21.86,97.08,154.98
passport,6,1,14,4,21,34.04,105.51,160.9
license,2,0,15,9,17,23.27,134.79,217.34
license,2,0,13,7,15,31.26,134.93,232.45
license,0,0,10,6,14,25.56,110.16,156.52
license,6,1,11,11,12,23.67,162.18,240
passport,1,0,13,14,19,32.82,300.66,240
passport,1,0,10,8,18,23.41,120.8,187.69
nic,3,0,14,3,15,16.26,31.76,65.04
nic,1,0,14,11,12,19.03,119.52,214.55
license,5,1,13,8,12,25.67,136.17,206.6
passport,2,0,9,10,10,35.04,231.22,240
nic,3,0,14,5,15,20.55,56.84,115.46
nic,3,0,11,7,13,14.5,78.42,107.16
nic,4,0,14,8,14,24.14,128.59,209.67
nic,4,0,14,6,19,25.13,94.67,174.34
license,5,1,11,4,7,19.37,49.8,62.53
nic,2,0,11,7,7,10,33.15,62.23
license,6,1,15,3,5,23.43,57.31,72.43
nic,5,1,9,4,5,16.77,35.94,42.83
passport,1,0,15,9,18,31.2,177.56,240
passport,5,1,10,9,9,35.69,223.05,240
license,5,1,9,4,4,10.85,17.63,18.84
nic,3,0,14,9,11,21.13,125.37,192.11
license,6,1,15,6,14,27.12,104.05,150.49
passport,6,1,11,15,15,26.12,245.55,240
license,6,1,15,6,11,22.26,79.81,133.89
nic,2,0,9,5,7,24.15,73.57,117.62
passport,5,1,13,10,20,31.32,213.77,240
license,4,0,10,10,13,29.95,183.49,240
nic,0,0,13,7,17,17.09,73.81,153.73
nic,3,0,15,5,18,14.74,42.62,82.95
passport,2,0,11,6,8,36.42,147.61,206.02
nic,1,0,13,8,15,16.32,108.85,146.16
passport,6,1,13,11,19,34.3,240.49,240
license,0,0,11,9,10,35.74,200.09,240
nic,6,1,14,5,11,19.81,67.48,101.26
nic,0,0,15,8,9,20.86,106.07,160.98
license,6,1,15,11,11,22.3,159.12,229.24
nic,3,0,11,6,12,17.82,63.02,113.0
passport,2,0,11,7,12,31.73,151.9,223.45
passport,2,0,10,14,14,34.65,325.18,240
passport,5,1,9,1,1,30.1,23.74,21.38
passport,5,1,14,8,9,36.44,200.98,240
license,6,1,10,7,7,18.2,74.84,106.26
passport,0,0,14,11,22,36.87,268.03,240
license,1,0,10,7,17,26.02,122.01,185.17
license,3,0,9,6,6,25.38,96.32,142.71
passport,5,1,11,7,8,34.68,145.69,220.57
passport,5,1,9,5,7,31.64,121.25,135.12
passport,0,0,11,6,18,33.1,107.05,191.05
passport,3,0,13,9,12,36.27,206.94,240
license,6,1,11,14,19,22.37,206.17,240
nic,2,0,13,8,11,13.55,55.86,116.17
nic,3,0,11,9,14,22.82,123.88,211.07
license,6,1,9,6,8,25.49,92.18,129.15
license,5,1,9,5,9,19.38,66.71,84.6
nic,4,0,11,3,12,26.87,43.07,79.09
license,6,1,11,7,18,28.84,130.35,191.26
license,4,0,15,9,16,21.04,114.69,192.38
passport,5,1,15,5,14,30.64,91.85,142.47
license,3,0,10,11,15,21.25,148.12,221.66
nic,4,0,13,13,13,19.99,173.37,240
passport,6,1,11,12,17,35.53,279.44,240
license,4,0,14,11,15,25.79,174.37,240
nic,6,1,11,4,6,26.27,69.54,98.58
license,0,0,15,11,12,24.25,184.27,240
license,2,0,11,15,15,27.37,262.91,240
license,3,0,13,17,21,16.49,185.13,240
passport,0,0,14,10,21,27.04,185.86,240
license,4,0,15,6,13,22.12,93.12,142.08
license,5,1,11,4,10,31.42,92.9,119.21
passport,3,0,10,10,11,35.21,236.62,240
license,0,0,14,16,22,25.63,277.74,240
nic,3,0,10,9,9,17.86,103.44,153.34
license,5,1,15,6,17,20.44,78.95,118.63
license,4,0,13,14,15,22.29,224.61,240
license,3,0,10,9,14,25.12,150.05,229.65
license,2,0,11,8,17,21.15,115.82,159.21
nic,2,0,15,4,11,16.55,54.6,75.12
nic,0,0,13,6,16,18.52,72.61,133.57
passport,5,1,11,11,11,28.82,214.16,240
nic,1,0,10,12,12,15.09,115.11,188.36
passport,4,0,14,9,15,29.89,175.7,240
nic,4,0,10,8,8,16.72,88.85,136.13
passport,5,1,14,11,11,37.85,285.87,240
license,0,0,14,10,11,26.38,174.82,240
license,4,0,13,12,18,23.31,172.5,240
passport,3,0,10,6,22,26.51,108.4,168.71
license,2,0,10,8,12,22.39,123.57,189.62
license,1,0,15,6,14,32.03,135.33,187.38
nic,1,0,9,8,10,22.03,106.84,164.21
nic,0,0,11,4,10,19.71,35.65,83.42
nic,5,1,14,7,19,11.79,49.26,92.26
passport,1,0,10,10,18,33.47,221.4,240
nic,2,0,11,10,18,15.81,91.69,160.54
passport,0,0,10,8,24,29.25,161.78,240
passport,3,0,15,7,15,31.65,135.67,232.15
nic,3,0,11,9,15,15.26,101.1,135.72
nic,2,0,13,3,12,24.9,36.28,98.52
nic,4,0,14,11,19,24.36,176.34,240
passport,6,1,15,6,18,35.27,140.89,197.46
nic,5,1,11,6,15,16.47,50.45,107.21
passport,4,0,13,15,15,30.06,298.77,240
nic,6,1,11,5,5,10.63,24.69,44.41
license,2,0,10,10,12,23.04,161.73,231.17
passport,6,1,11,11,11,35.09,251.3,240
license,5,1,14,8,12,27.81,132.87,220.37
license,4,0,10,8,13,27.29,146.97,221.92
license,1,0,11,8,11,28.08,148.48,229.15
passport,0,0,13,11,12,33.1,237.66,240
passport,5,1,9,5,7,29.85,102.96,132.64
nic,4,0,10,6,15,11.05,46.47,73.36
license,3,0,13,8,20,25.01,133.53,226.39
passport,0,0,15,10,16,29.96,181.07,240
license,1,0,11,6,11,27.93,107.69,179.07
license,5,1,11,4,7,20.84,50.34,77.94
license,5,1,11,3,15,21.39,38.45,57.07
nic,2,0,9,8,14,13.85,71.45,113.81
nic,3,0,15,9,9,15.91,97.55,142.88
nic,3,0,11,10,14,16.73,109.55,169.47
nic,1,0,13,9,18,16.93,86.89,166.81
passport,5,1,13,8,13,38.64,203.54,240
license,2,0,10,11,14,18.93,136.67,202.01
license,0,0,14,14,19,25.7,227.02,240
license,3,0,14,9,15,28.13,163.54,240
nic,2,0,9,3,10,19.75,30.66,65.76
nic,1,0,15,7,7,16.05,70.26,102.85
nic,4,0,10,9,9,19.77,105.88,164.45
nic,2,0,15,6,9,23.03,99.01,139.22
license,6,1,9,8,12,22.81,120.09,165.52
license,6,1,10,11,11,30.31,223.13,240
license,3,0,13,13,19,21.31,174.49,240
nic,3,0,14,11,13,11.84,90.98,143.41
passport,2,0,14,16,16,31.3,312.63,240
passport,6,1,9,7,10,28.14,142.67,181.53
passport,2,0,11,11,11,27.44,191.33,240
license,6,1,9,5,13,25.6,83.95,115.01
nic,3,0,13,17,17,19.8,230.47,240
nic,6,1,11,9,12,20.09,127.8,178.9
license,1,0,9,4,11,23.09,54.48,83.13
nic,1,0,13,5,18,20.53,58.11,119.85
nic,5,1,11,10,10,16.12,106.78,156.76
license,6,1,9,6,10,26.31,100.22,146.35
nic,5,1,15,8,12,23.79,124.32,171.21
license,5,1,10,9,15,21.33,119.54,183.54
nic,1,0,9,3,6,21.38,40.1,62.1
nic,1,0,14,11,11,14.21,97.46,181.4
nic,6,1,15,7,7,15.98,69.49,93.74
nic,3,0,13,12,17,21.06,156.12,240
nic,2,0,11,12,17,14.53,110.16,173.53
nic,0,0,14,4,16,19.28,52.87,99.36
passport,4,0,11,8,11,26.64,144.83,219.4
license,1,0,11,11,14,24.81,196.42,240
nic,4,0,11,5,15,21.06,58.02,116.63
license,6,1,10,9,12,24.6,135.85,209.19
license,0,0,11,7,8,24.29,111.66,168.49
passport,2,0,14,12,12,31.2,242.91,240
license,6,1,11,7,8,26.92,118.23,166.86
passport,5,1,14,11,11,28.64,202.08,240
license,1,0,11,12,18,28.72,216.63,240
nic,0,0,9,9,9,22.52,128.36,194.35
nic,4,0,15,7,7,16.19,81.13,114.71
nic,4,0,11,6,16,22.08,91.49,141.59
license,0,0,13,13,16,22.44,204.74,240
nic,2,0,10,11,11,24.77,176.72,240
passport,4,0,13,17,17,31.45,337.52,240
passport,0,0,10,8,9,30.53,158.37,237.7
passport,0,0,15,6,18,31.04,126.13,198.86
nic,1,0,15,7,10,19.18,89.06,147.36
passport,5,1,11,3,13,27.85,49.69,74.04
license,4,0,9,4,4,28.1,73.58,108.53
passport,6,1,13,7,7,30.68,145.39,216.72
license,0,0,10,10,16,26.69,171.9,240
passport,6,1,10,5,13,33.05,104.63,157.81
license,5,1,14,5,19,25.91,82.56,141.69
nic,2,0,13,4,12,17.22,69.18,101.4
passport,4,0,15,10,12,31.45,215.83,240
nic,0,0,9,10,10,23.08,160.93,218.62
license,0,0,14,13,13,19.4,188.34,240
nic,5,1,13,8,9,22.18,103.42,183.44
nic,1,0,14,14,14,20.62,179.79,240
passport,1,0,11,10,17,30.45,214.22,240
nic,5,1,11,7,7,18.06,78.77,114.53
passport,1,0,13,13,24,26.43,221.51,240
passport,6,1,15,2,7,35.88,29.06,58.71
license,2,0,13,10,15,23.2,149.68,240
passport,4,0,11,8,16,16.25,88.13,136.8
license,1,0,11,4,11,23.45,47.42,100.37
passport,2,0,10,9,17,36.79,219.5,240
license,0,0,15,6,6,19.26,71.11,119.65
passport,4,0,11,18,18,32.99,396.17,240
nic,4,0,13,16,16,18.64,197.89,240
passport,0,0,9,1,14,37.0,26.49,43.37
license,6,1,11,10,10,27.75,177.51,240
nic,1,0,15,9,17,15.75,103.36,149.71
nic,5,1,14,5,5,18.65,55.08,89.26
passport,5,1,15,6,10,34.4,146.61,198.03
license,3,0,14,14,15,33.21,292.24,240
passport,1,0,11,14,14,29.05,269.18,240
nic,6,1,15,3,3,17.69,35.54,45.36
passport,2,0,9,12,12,30.77,232.28,240
nic,3,0,13,11,11,12.67,101.2,158.47
license,1,0,10,5,6,26.16,86.6,129.54
passport,0,0,9,4,18,32.84,88.06,149.29
passport,4,0,14,8,21,28.12,135.64,240
license,3,0,10,11,14,28.05,199.24,240
license,2,0,15,6,11,26.89,114.79,167.54
passport,1,0,9,5,14,30.37,110.03,149.81
nic,1,0,10,7,7,10,41.59,71.05
passport,3,0,13,13,14,29.51,243.2,240
nic,3,0,9,8,8,22.46,117.73,175.67
nic,1,0,15,7,9,15.22,77.56,118.93
license,0,0,13,9,16,20.21,102.56,188.99
passport,4,0,10,9,15,37.19,210.3,240
license,5,1,14,8,17,31.81,146.88,240
nic,1,0,10,10,14,22.27,144.13,230.42
license,2,0,11,9,20,19.29,120.08,185.46
passport,4,0,11,12,12,32.55,253.26,240
passport,0,0,13,8,19,36.18,170.17,240
nic,0,0,14,10,10,23.54,140.82,240
license,3,0,14,8,13,23.3,120.45,202.07
license,5,1,15,4,12,28.44,65.5,110.92
passport,2,0,9,8,8,38.05,192.11,240
license,5,1,9,7,7,21.94,112.37,140.3
license,3,0,14,7,13,21.96,103.5,180.16
license,3,0,14,14,14,21.66,196.66,240
nic,6,1,14,10,11,17.33,117.97,187.49
nic,1,0,9,0,11,17.1,5,7.72
license,0,0,15,5,15,24.74,76.25,125.66
passport,4,0,14,10,18,37.24,233.87,240
passport,0,0,10,8,19,26.47,138.9,220.42
nic,5,1,10,6,13,24.91,98.9,142.71
nic,5,1,10,6,9,17.69,68.77,108.54
passport,5,1,15,5,7,29.36,100.61,136.43
license,4,0,14,13,13,25.12,200.51,240
passport,4,0,15,7,11,30.16,128.82,203.4
passport,6,1,11,10,11,38.29,254.14,240
nic,4,0,10,12,12,19.75,143.8,225.74
license,0,0,15,4,8,24.06,69.35,96.59
license,0,0,14,9,9,26.37,166.24,240
passport,5,1,11,12,12,31.64,255.61,240
nic,2,0,9,1,10,17.21,5,28.54
passport,5,1,9,2,9,34.8,51.01,54.64
passport,2,0,11,7,12,32.98,151.85,223.72
license,0,0,13,7,18,20.98,100.74,163.05
passport,3,0,9,9,9,35.66,208.26,240
passport,1,0,11,9,16,30.08,182.26,240
nic,2,0,15,10,12,19.74,141.65,198.18
nic,1,0,14,8,9,19.71,94.27,168.67
nic,0,0,14,10,17,21.51,140.44,231.57
license,0,0,15,6,11,21.15,87.44,127.15
nic,3,0,14,7,12,19.51,82.75,146.44
license,4,0,11,13,13,26.47,241.46,240
passport,2,0,10,13,22,32.3,271.48,240
nic,5,1,9,13,13,16.7,133.36,203.86
nic,3,0,15,7,15,30.35,145.87,211.43
nic,0,0,15,3,14,20.88,45.07,75.29
license,1,0,10,7,7,22.14,111.91,153.87
license,5,1,10,5,5,28.18,80.52,123.02
passport,0,0,9,3,11,33.32,50.11,97.88
passport,2,0,10,10,19,33.15,220.36,240
passport,1,0,9,9,11,36.02,217.4,240
license,0,0,15,8,10,15.44,74.84,117.91
passport,2,0,13,17,19,37.5,403.25,240
passport,5,1,9,9,14,35.79,224.36,240
license,5,1,10,4,18,27.04,68.54,105.65
passport,1,0,9,4,4,37.98,97.67,146.63
passport,6,1,13,6,7,36.68,151.1,232.32
nic,0,0,13,12,17,15.57,113.65,197.2
license,3,0,11,4,8,28.7,65.79,117.44
passport,0,0,13,9,15,32.53,189.59,240
license,4,0,15,5,9,29.9,95.53,144.43
license,4,0,9,10,10,26.64,161.43,240
license,3,0,10,11,11,25.34,180.98,240
passport,6,1,13,8,14,30.85,154.49,240
passport,0,0,14,12,22,29.6,234.22,240
passport,0,0,13,13,14,32.66,264.33,240
nic,3,0,13,13,14,21.25,166.97,240
license,4,0,10,8,10,20.35,97.74,168.86
nic,6,1,13,5,16,12.86,34.33,68.81
nic,6,1,15,8,9,21.6,122.26,150.82
passport,4,0,14,10,18,35.71,226.49,240
passport,0,0,11,6,13,30.35,125.6,182.93
passport,6,1,10,8,10,24.15,134.94,188.51
passport,3,0,15,6,9,29.48,115.7,174.92
license,0,0,14,15,15,19.26,188.81,240
license,1,0,15,7,12,22.28,95.38,148.43
passport,4,0,13,8,19,30.93,155.18,240
passport,3,0,10,12,18,36.15,289.22,240
license,4,0,11,7,7,22.2,97.05,147.92
passport,5,1,10,6,17,31.32,131.3,183.02
license,5,1,11,6,6,19.11,70.49,110.86
license,5,1,14,6,10,31.56,126.57,183.83
nic,3,0,10,9,12,17.25,114.87,170.64
nic,6,1,9,4,5,14.88,38.73,42.87
passport,0,0,14,15,15,36.35,344.52,240
license,2,0,15,7,7,16.15,58.23,117.14
license,2,0,14,15,17,26.34,272.24,240
nic,5,1,15,3,7,14.29,16.73,27.14
nic,6,1,15,8,8,20.67,118.37,158.32
license,0,0,13,12,17,24.82,193.17,240
passport,0,0,11,3,16,40.9,84.32,122.17
license,4,0,15,5,9,30.7,96.82,150.88
license,2,0,14,10,17,28.32,188.02,240
nic,2,0,10,10,16,14.05,88.07,149.15
license,4,0,13,15,15,24.53,239.04,240
license,4,0,14,7,14,25.14,120.29,188.14
nic,3,0,11,6,11,24.31,86.95,136.61
passport,3,0,9,11,11,37.56,267.14,240
nic,1,0,14,5,12,19.38,73.92,119.33
nic,1,0,14,13,17,10.77,90.54,151.69
nic,5,1,15,8,12,17.16,92.21,140.77
license,0,0,14,12,18,16.08,118.1,210.27
passport,3,0,11,14,15,26.41,237.84,240
license,0,0,15,5,14,20.93,61.4,107.95
license,2,0,14,14,18,20.29,187.7,240
license,1,0,10,6,13,16.86,69.67,103.55
license,1,0,11,6,6,25.8,88.2,136.88
license,6,1,14,13,13,24.91,203.3,240
license,0,0,11,10,19,23.58,147.81,240
nic,1,0,10,5,13,25.46,84.48,135.19
license,6,1,9,9,9,28.45,166.11,228.96
nic,2,0,9,5,10,22.99,81.89,111.73
license,5,1,10,10,13,26.83,170.29,240
passport,5,1,14,10,16,36.23,242.66,240
nic,0,0,11,8,14,17.73,83.65,144.33
license,2,0,13,9,11,24.87,142.03,238.81
nic,5,1,14,9,12,21.89,113.11,196.26
license,0,0,15,13,13,24.35,203.75,240
license,4,0,13,10,12,27.03,177.11,240
license,6,1,10,5,8,26.12,86.69,111.11
passport,1,0,13,10,16,31.62,206.41,240
license,5,1,10,15,15,21.8,218.13,240
license,5,1,10,7,7,22.22,105.46,142.34
passport,1,0,9,7,8,27.79,128.49,179.69
passport,0,0,9,10,10,30.61,189.66,240
passport,4,0,14,6,13,30.34,110.63,197.71
nic,4,0,11,3,18,14.29,27.1,59.42
passport,4,0,9,5,9,31.97,105.52,155.3
license,2,0,10,10,15,18.09,108.77,177.03
passport,5,1,9,3,4,32.53,64.59,83.52
passport,0,0,10,14,16,34.99,327.97,240
nic,1,0,11,9,16,15.74,74.58,149.76
license,0,0,15,7,7,26.64,119.39,176.34
